ACCUSE,0
AGREE,1
AID,2
ASSAULT,3
COERCE,4
CONCEDE,5
CONSULT,6
COOPERATE,7
MOBILIZE,8
PROTEST,9
REJECT,10
REQUEST,11
RETREAT,12
SANCTION,13
SUPPORT,14
THREATEN,15
